numGreen,numYellow,numBlue,avgGreen,maxGreen,minGreen,avgYellow,maxYellow,minYellow,avgBlue,maxBlue,minBlue,time
3,40,12,25.3,68.6,2.8,5.6,16.2,0.0,4.4,38.6,0.6,2.294
22,17,12,9.2,31.5,1.2,6.3,23.5,0.6,7.1,23.8,0.6,2.076
34,6,18,6.7,25.4,1.2,9.0,25.9,0.6,9.4,44.1,0.5,2.413
52,4,6,5.6,18.5,1.2,11.7,39.0,1.4,13.1,84.2,1.0,2.626
6,37,5,12.3,37.2,1.7,5.4,15.8,0.0,6.2,40.9,0.6,1.946
4,9,27,34.3,89.2,2.8,7.0,29.5,0.8,3.6,14.0,0.6,1.558
15,1,43,18.8,135.2,1.4,30.8,51.2,23.6,4.2,19.8,0.0,2.433
3,1,28,57.5,127.3,4.8,30.7,49.2,23.2,3.1,14.9,0.6,1.199
20,42,2,10.7,36.2,1.2,5.5,18.6,0.0,14.4,50.8,0.9,2.698
12,16,16,12.1,39.8,1.4,6.0,19.0,0.8,5.7,22.2,0.6,1.733
15,12,9,9.4,29.8,1.2,6.2,19.1,0.6,7.0,25.1,0.6,1.356
37,23,1,6.6,22.6,1.2,8.8,29.1,0.1,29.8,78.1,21.8,2.573
2,8,1,29.9,63.7,2.8,5.5,14.4,0.6,27.2,35.2,21.4,0.071
13,38,6,11.1,34.5,1.2,5.5,17.6,0.0,6.3,44.4,0.6,2.345
8,43,4,10.9,33.6,1.2,5.5,17.8,0.0,7.4,57.8,0.8,2.291
8,22,1,10.3,34.5,1.4,5.5,15.5,0.0,28.9,41.9,22.0,1.159
0,34,17,0.0,0.0,0.0,5.7,15.0,0.1,4.3,30.9,0.6,2.069
23,16,2,7.3,22.1,1.2,8.0,24.8,0.6,14.8,46.8,0.8,1.598
25,27,2,8.9,30.6,1.2,6.2,23.4,0.0,14.3,46.8,0.6,2.244
15,1,0,5.6,14.4,1.4,31.1,42.9,23.9,0.0,0.0,0.0,0.116
2,35,24,35.0,82.6,2.7,5.7,16.0,0.0,4.6,20.4,0.6,2.584
25,24,0,8.3,26.6,1.2,6.7,20.8,0.0,0.0,0.0,0.0,1.979
18,0,6,5.7,16.1,1.4,0.0,0.0,0.0,12.0,37.2,0.9,0.847
21,1,24,9.8,42.4,1.3,31.1,45.5,23.0,6.2,24.9,0.2,1.866
33,9,17,7.0,27.2,1.2,8.4,25.0,0.6,8.8,48.6,0.4,2.446
14,5,25,13.7,58.7,1.4,6.7,35.1,1.2,5.1,19.8,0.6,1.74
8,40,7,11.1,31.8,1.3,5.5,16.9,0.0,6.6,57.0,1.2,2.36
34,5,9,5.6,18.6,1.2,11.7,43.2,1.6,12.2,52.8,0.8,1.949
2,5,1,29.7,65.4,2.2,5.6,15.8,0.6,27.5,35.1,21.5,0.053
3,29,21,29.5,69.7,2.6,5.7,16.1,0.2,4.3,18.2,0.6,2.205
8,15,0,10.4,34.9,1.4,5.5,16.8,0.1,0.0,0.0,0.0,0.822
10,36,16,13.4,39.4,1.7,5.7,17.9,0.0,5.2,22.5,0.6,2.624
4,3,11,22.6,51.9,2.3,10.0,27.9,0.8,4.0,17.8,0.6,0.177
12,14,9,10.6,33.2,1.6,5.8,17.2,0.6,6.4,22.2,0.6,1.315
23,1,29,10.3,43.8,1.2,31.0,47.2,24.5,6.0,22.2,0.0,2.197
10,12,17,13.8,44.0,1.6,5.7,16.5,0.6,5.3,20.5,0.6,1.516
2,51,9,34.2,75.2,2.6,5.5,18.9,0.0,4.5,59.9,1.0,2.62
15,34,13,10.9,34.8,1.2,5.6,17.6,0.0,6.3,39.9,0.6,2.627
16,5,2,5.7,18.3,1.2,10.8,33.8,0.9,16.4,41.0,0.8,0.816
10,4,44,26.9,139.9,1.8,7.9,57.0,0.9,3.8,18.5,0.6,2.394
15,7,37,16.7,105.7,1.5,5.9,40.4,1.0,4.5,17.1,0.6,2.442
9,49,3,10.3,35.5,1.2,5.5,19.6,0.0,9.6,59.2,0.6,2.575
2,10,15,37.7,91.2,5.7,6.5,19.4,0.6,3.9,17.1,0.6,0.954
39,12,13,6.4,25.6,1.2,9.9,32.0,0.9,10.1,64.8,0.6,2.703
48,4,1,5.5,15.8,1.2,11.9,36.4,1.2,31.0,111.0,22.2,2.2
17,1,26,11.9,62.0,1.6,31.0,45.9,23.4,5.3,21.8,0.5,1.732
12,14,27,15.8,64.0,1.5,6.0,22.1,0.6,4.8,18.5,0.6,2.197
43,6,14,5.7,18.8,1.2,11.6,38.9,1.5,11.8,68.2,0.1,2.67
6,5,16,20.0,65.2,1.7,6.7,27.0,1.2,4.2,18.0,0.6,0.948
35,7,0,5.6,17.0,1.2,11.6,33.5,0.9,0.0,0.0,0.0,1.649
12,46,4,11.3,37.5,1.6,5.5,17.9,0.0,7.6,63.9,1.1,2.625
17,7,33,14.3,64.7,1.8,6.1,36.8,1.2,5.0,19.0,0.6,2.351
32,12,17,7.6,25.2,1.2,8.1,28.8,0.6,8.3,34.9,0.6,2.566
31,3,0,5.6,14.8,1.2,12.6,39.8,1.0,0.0,0.0,0.0,1.282
8,20,24,18.8,67.6,1.8,5.9,18.9,0.0,4.7,16.1,0.6,2.1
22,10,30,11.2,34.2,1.3,6.0,28.5,0.6,5.7,24.4,0.6,2.619
