numGreen,numYellow,numBlue,avgGreen,maxGreen,minGreen,avgYellow,maxYellow,minYellow,avgBlue,maxBlue,minBlue,time
28,13,8,8.0,30.3,0.3,20.3,91.0,0.5,29.0,70.2,3.2,0.217
38,15,1,5.8,21.0,0.3,19.6,59.2,1.6,183.0,298.2,237.0,0.243
4,10,22,45.8,99.6,9.0,20.9,61.1,3.0,6.5,23.4,0.4,0.15
15,26,10,16.4,48.2,0.7,9.9,31.9,0.4,22.8,63.1,1.6,0.226
4,3,16,31.2,69.8,6.8,50.6,84.4,10.2,5.6,20.0,0.4,0.087
23,10,26,12.6,34.2,0.4,30.9,90.1,2.3,10.2,40.1,0.4,0.263
14,2,18,12.3,53.5,0.6,100.1,145.8,75.2,8.3,26.0,0.4,0.156
12,35,4,19.1,56.4,0.9,6.6,25.9,0.3,51.9,120.0,6.8,0.223
11,7,1,7.6,26.3,0.3,16.5,51.5,1.1,86.4,111.5,90.5,0.214
12,1,5,7.0,22.4,0.3,115.7,148.0,130.8,17.1,39.4,1.1,0.212
46,5,13,6.0,28.6,0.3,60.0,170.2,12.2,21.7,99.0,1.6,0.285
30,21,11,9.4,38.8,0.3,15.5,47.0,1.0,26.0,81.8,0.9,0.276
39,14,11,7.4,32.1,0.3,23.9,129.8,3.2,25.4,97.8,1.9,0.285
7,10,26,30.5,92.5,1.9,24.5,78.6,2.8,6.9,26.5,0.4,0.184
2,9,43,114.6,277.3,42.0,32.3,117.7,5.8,4.5,23.5,0.4,0.236
16,14,25,17.3,66.2,1.2,21.0,109.8,2.0,9.9,32.9,0.4,0.238
8,2,16,17.2,49.4,0.8,83.8,124.3,67.1,6.8,27.5,0.4,0.104
18,11,2,7.6,23.8,0.3,16.3,47.8,1.5,71.8,98.1,58.0,0.127
27,3,24,9.8,28.7,0.6,95.8,177.2,43.0,10.2,32.0,0.1,0.234
47,5,11,5.5,24.4,0.3,61.8,124.6,16.1,25.0,130.8,1.0,0.275
54,2,7,4.5,24.4,0.3,141.1,234.9,100.8,34.9,247.1,1.1,0.277
4,5,21,39.0,123.3,3.6,37.8,88.2,6.3,5.7,21.5,0.4,0.122
32,17,13,9.0,36.3,0.3,18.9,83.3,2.3,20.8,87.2,1.0,0.276
22,7,32,13.7,53.0,0.3,46.1,121.8,9.3,8.4,29.5,0.4,0.27
6,29,19,41.3,94.0,12.0,9.1,31.2,0.4,12.1,37.1,0.4,0.239
2,46,5,96.5,207.6,31.1,4.6,19.0,0.3,36.7,99.5,1.9,0.23
1,2,20,116.1,150.1,119.7,74.0,101.4,61.2,4.0,19.4,0.4,0.091
2,24,10,83.8,127.8,49.6,7.2,24.5,0.4,15.0,31.2,2.0,0.15
9,23,4,19.0,64.4,1.3,7.7,26.2,0.3,39.7,102.0,9.8,0.149
5,13,44,57.1,164.3,9.1,25.1,100.2,2.4,5.4,21.6,0.0,0.273
34,24,3,7.9,27.7,0.4,12.9,33.8,1.4,85.2,207.1,19.6,0.267
6,17,6,23.5,46.2,1.9,8.8,26.3,0.4,21.7,47.4,4.5,0.118
5,18,13,36.1,79.1,8.3,10.5,30.2,0.4,11.9,44.2,0.6,0.15
28,21,0,7.5,23.3,0.3,12.1,37.3,0.8,0.0,0.0,0.0,0.213
10,35,1,20.3,73.4,0.8,5.7,21.0,0.2,162.8,244.0,195.4,0.195
0,36,19,0.0,0.0,0.0,7.0,22.7,0.2,11.4,34.4,0.8,0.234
12,22,9,17.5,51.0,0.4,10.0,32.6,0.3,21.8,69.1,1.0,0.186
19,6,2,6.1,24.6,0.3,26.7,77.4,3.3,65.4,102.4,43.8,0.112
11,3,17,14.4,46.0,1.0,61.6,120.9,2.3,8.0,27.8,0.4,0.126
17,20,22,17.3,51.1,1.7,15.9,58.3,0.8,12.3,33.5,0.4,0.26
2,2,18,58.2,116.5,19.8,71.8,113.3,45.0,4.5,15.1,0.4,0.085
23,6,25,11.4,37.0,0.3,48.7,113.9,9.8,9.7,32.6,0.4,0.235
6,11,17,30.0,74.9,3.7,18.0,47.2,0.4,8.5,26.5,0.5,0.142
28,6,18,8.9,34.9,0.3,47.2,123.7,7.3,13.1,39.5,0.8,0.225
13,23,18,20.3,51.0,1.0,11.9,36.0,0.6,13.6,41.2,0.9,0.236
10,1,16,13.9,38.4,0.4,152.2,207.4,184.8,7.2,23.5,0.4,0.105
0,24,14,0.0,0.0,0.0,7.7,24.5,0.2,10.9,23.4,0.5,0.154
10,25,1,15.9,41.0,2.6,6.7,22.6,0.3,135.9,192.6,155.0,0.148
10,18,13,20.5,61.4,0.5,12.3,32.6,0.5,14.0,42.9,0.6,0.172
7,42,2,30.5,68.8,4.1,5.0,21.6,0.2,91.1,132.9,46.8,0.223
12,23,26,25.1,85.4,2.1,14.1,50.7,0.4,9.9,29.6,0.4,0.273
31,18,9,8.6,35.2,0.3,16.5,75.5,1.0,30.3,108.8,2.1,0.258
5,14,21,41.2,102.7,4.8,15.8,40.8,0.5,8.0,31.2,0.4,0.172
5,2,45,48.0,187.8,10.8,126.1,187.6,102.2,4.0,17.2,0.4,0.228
29,14,14,9.3,35.0,0.3,21.4,103.9,1.4,18.9,65.6,2.4,0.259
1,15,28,179.5,267.2,212.4,16.2,45.5,1.6,6.0,21.6,0.4,0.187
8,12,18,24.1,68.3,0.7,17.8,59.0,0.8,9.4,33.2,0.4,0.157
10,6,48,29.7,175.6,2.3,50.7,153.9,7.8,5.2,19.8,0.4,0.283
2,29,14,100.4,154.4,76.9,7.2,23.1,0.2,13.3,37.0,0.9,0.196
4,32,11,52.1,134.7,8.8,6.7,24.3,0.3,17.5,50.2,2.8,0.202
8,30,23,36.8,91.3,11.4,10.2,28.3,0.4,11.3,39.2,0.4,0.268
14,9,2,8.0,30.5,0.3,16.3,44.3,1.6,58.9,80.1,47.2,0.098
41,3,8,5.1,24.9,0.3,89.6,177.0,17.6,28.5,121.9,3.5,0.232
25,12,25,12.7,41.6,0.3,26.9,95.5,3.2,11.5,42.8,0.6,0.28
4,52,4,53.7,113.3,1.7,4.6,17.2,0.3,49.6,114.6,3.6,0.264
33,12,3,6.2,29.5,0.4,21.5,74.2,1.3,74.7,125.5,35.1,0.212
4,11,21,44.8,124.1,1.8,18.6,68.8,0.5,6.9,27.2,0.4,0.148
5,4,18,29.2,61.9,4.0,42.5,84.3,11.8,6.1,18.8,0.4,0.108
31,9,22,10.0,39.9,0.3,35.4,107.0,7.8,12.9,44.4,0.4,0.27
10,9,14,16.7,55.0,0.7,21.4,85.3,1.0,10.4,37.5,0.6,0.135
31,14,14,8.9,39.1,0.3,20.9,116.0,1.2,19.6,85.2,0.4,0.262
10,6,20,18.4,59.6,0.5,35.0,98.3,2.2,7.6,27.4,0.4,0.145
1,7,34,168.5,255.1,194.5,34.5,99.9,1.3,4.5,24.0,0.4,0.183
7,6,49,40.3,202.5,9.8,49.0,150.2,10.0,4.7,20.4,0.4,0.275
37,27,0,7.3,24.8,0.3,11.7,36.8,0.4,0.0,0.0,0.0,0.284
30,8,11,7.4,30.4,0.3,32.2,139.5,1.8,21.0,72.2,2.6,0.228
11,1,38,21.6,143.8,1.3,188.2,353.0,282.2,5.1,25.0,0.4,0.216
5,46,9,48.8,132.2,1.5,5.6,20.2,0.3,26.1,62.6,2.8,0.266
2,22,26,112.8,211.3,65.9,11.9,33.6,0.6,7.7,26.9,0.4,0.23
14,10,39,21.9,88.2,1.8,32.8,80.1,5.1,6.8,35.6,0.4,0.275
6,1,33,32.6,141.7,1.5,188.1,293.6,241.0,4.4,22.0,0.4,0.171
2,8,42,109.3,277.5,29.5,34.5,101.8,3.8,4.5,21.8,0.4,0.224
12,27,9,19.5,75.1,0.6,8.8,36.7,0.2,23.5,81.4,0.8,0.214
31,19,6,8.2,36.7,0.3,15.2,46.8,0.5,41.6,133.2,1.2,0.247
35,7,9,6.3,27.4,0.3,38.1,118.5,3.6,25.8,92.5,0.5,0.225
42,7,2,4.8,24.1,0.3,38.2,89.9,9.2,101.6,257.1,37.1,0.22
9,0,8,9.6,23.1,0.6,0.0,0.0,0.0,9.7,27.9,0.5,0.142
52,9,3,4.8,25.2,0.3,35.0,98.5,4.8,75.2,284.0,17.6,0.288
18,4,6,7.0,24.5,0.3,43.0,103.5,7.9,22.2,57.1,2.6,0.11
11,41,8,24.6,86.1,2.2,6.4,23.3,0.3,30.4,78.6,3.8,0.261
40,1,15,6.0,23.0,0.3,195.7,363.5,297.4,16.7,71.2,0.2,0.249
1,9,18,130.4,171.6,144.1,19.1,46.8,2.0,6.1,20.4,0.4,0.114
1,2,51,188.1,351.2,259.0,125.5,239.6,82.6,3.4,13.2,0.0,0.236
42,10,9,6.3,28.8,0.3,31.2,76.8,1.6,30.3,104.4,4.1,0.272
5,0,24,30.6,88.0,1.7,0.0,0.0,0.0,4.5,16.0,0.4,0.115
13,5,12,11.6,29.5,0.4,36.8,106.0,4.2,11.3,36.8,0.5,0.123
15,4,12,10.1,27.8,0.6,47.4,111.8,9.2,11.9,28.1,1.1,0.126
4,12,31,59.8,147.0,2.6,20.7,90.2,2.0,5.9,24.1,0.4,0.203
3,3,44,73.3,200.1,28.5,82.4,162.2,9.3,3.9,20.0,0.4,0.218
27,18,17,11.4,43.3,0.3,18.2,98.1,2.1,16.4,71.4,1.1,0.278
